Metric,A3_Mode,ML_Mode,Improvement
Total Handover Decisions,24,530,+506
Applied Handovers,24,6,-18
Skipped Handovers (Suppressed),0,524,+524
Failed Handovers (Errors),0,0,+0
Success Rate (%),100.00,1.13,-98.87% ↓
Skip Rate (%),0.00,98.87,-98.87% ↓
Ping-Pong Rate (%),37.50,0.00,-37.50% ↓
Ping-Pongs Prevented,N/A,0,N/A
ML Fallbacks to A3,N/A,0,N/A
QoS Compliance Pass,24,6,-18
QoS Compliance Fail,0,0,+0
Avg ML Confidence (%),N/A,87.72,N/A
Median Handover Interval (s),25.61,133.71,+108.10% ↑
P95 Handover Interval (s),46.29,133.82,+87.53% ↑
Avg Prediction Latency (ms),N/A,6.83,N/A
Median Handover Interval 95% CI (s),N/A,N/A,N/A
Median Handover Interval Std Dev (s),86.97,55.26,-31.71% ↓
Latency Std Dev (ms),0.39,0.22,N/A
Confidence Std Dev (%),N/A,0.00,N/A
Dwell Time Sample Count,22,5,-17
Top Skip Outcome (ML),N/A,"already_connected (524 events, 100.0% of skips)",N/A
